x, y, theta, stamp, 
2.0556461421961103e-08, -2.4176468826908604e-08, 2.384199281333818e-07, 1729718269.4817395, 
2.0556461421961103e-08, -2.4176468826908604e-08, 2.384199565551472e-07, 1729718269.5308287, 
2.0556461421961103e-08, -2.4176468826908604e-08, 2.384199565551472e-07, 1729718269.6005156, 
0.00040700851241126657, 7.132872997317463e-05, -0.0035319408615003137, 1729718269.641735, 
0.0028502237983047962, -3.613745138864033e-05, -0.022340334794562423, 1729718269.690728, 
0.0062590958550572395, -0.0003083221963606775, -0.05052409054913625, 1729718269.740677, 
0.010889983735978603, -0.0006778029492124915, -0.08715642737657164, 1729718269.7899451, 
0.015590538270771503, -0.0013272962532937527, -0.132596904766793, 1729718269.8367093, 
0.022544655948877335, -0.0025875039864331484, -0.18866814306422328, 1729718269.8858614, 
0.03350268304347992, -0.004550963174551725, -0.2709255763366556, 1729718269.9500272, 
0.0394304096698761, -0.006291800178587437, -0.3135335565448199, 1729718269.9807317, 
0.051945969462394714, -0.010514961555600166, -0.40791857268679155, 1729718270.040871, 
0.0628143921494484, -0.015449922531843185, -0.4919900599247716, 1729718270.0907326, 
0.08379849791526794, -0.028210768476128578, -0.6672345132588937, 1729718270.1907332, 
0.10076387226581573, -0.0430726557970047, -0.8203754081409648, 1729718270.2807784, 
0.11721611768007278, -0.06268130987882614, -0.9835931467864156, 1729718270.3807561, 
0.13117490708827972, -0.0875706747174263, -1.1597563391681427, 1729718270.4907324, 
0.14022767543792725, -0.11172030121088028, -1.320859861812134, 1729718270.590805, 
0.1451008915901184, -0.1359405517578125, -1.4617820073647494, 1729718270.6838243, 
0.14670579135417938, -0.1618901491165161, -1.5971130353743592, 1729718270.7763472, 
0.14374670386314392, -0.19547750055789948, -1.7567629548413248, 1729718270.8947434, 
0.13761989772319794, -0.22255373001098633, -1.8721781904623345, 1729718270.986747, 
0.12749119102954865, -0.25064617395401, -1.986909329170164, 1729718271.0848522, 
0.11539618670940399, -0.27550172805786133, -2.0787816508140757, 1729718271.1761887, 
0.09670300036668777, -0.30552563071250916, -2.179648429488685, 1729718271.2947447, 
0.08020896464586258, -0.3274809718132019, -2.2496819498222123, 1729718271.3859062, 
0.06077757850289345, -0.3505980372428894, -2.3119702631980186, 1729718271.4848828, 
0.0421871617436409, -0.37051549553871155, -2.358777982021407, 1729718271.576101, 
0.016290049999952316, -0.39564186334609985, -2.408936907351259, 1729718271.695749, 
-0.0046248785220086575, -0.4138970971107483, -2.441931256456512, 1729718271.785828, 
-0.028064211830496788, -0.4328831434249878, -2.471053096900243, 1729718271.885836, 
-0.04994971677660942, -0.44950661063194275, -2.4926772073095758, 1729718271.9749308, 
-0.07813189923763275, -0.4701623022556305, -2.5138461645348946, 1729718272.0908635, 
-0.10281254351139069, -0.4876650273799896, -2.527203065493045, 1729718272.1907594, 
-0.12529172003269196, -0.5032459497451782, -2.5390045505964083, 1729718272.2807977, 
-0.1506369560956955, -0.5201839804649353, -2.5504178567764884, 1729718272.3807473, 
-0.17845113575458527, -0.5382363796234131, -2.5597677794502194, 1729718272.4907644, 
-0.20399336516857147, -0.5544726848602295, -2.5677673383010466, 1729718272.5899017, 
-0.22736406326293945, -0.5691007375717163, -2.575427244230117, 1729718272.6799102, 
-0.25331929326057434, -0.5849480032920837, -2.58358548919437, 1729718272.780247, 
-0.28223544359207153, -0.6022957563400269, -2.59005162190306, 1729718272.889965, 
-0.3080124855041504, -0.6178229451179504, -2.5972624077282433, 1729718272.9907851, 
-0.33176442980766296, -0.6317723393440247, -2.602904793727786, 1729718273.0808394, 
-0.35760498046875, -0.6467600464820862, -2.6077790931851292, 1729718273.1804802, 
-0.38714903593063354, -0.6634471416473389, -2.6128573682600926, 1729718273.2907693, 
-0.41354769468307495, -0.6783655285835266, -2.618569414834033, 1729718273.3898952, 
-0.4373631477355957, -0.691724956035614, -2.6211166354800786, 1729718273.479902, 
-0.46375322341918945, -0.7064028978347778, -2.624934446989515, 1729718273.580029, 
-0.49306520819664, -0.7226636409759521, -2.628627811563077, 1729718273.690793, 
-0.5198790431022644, -0.7374536395072937, -2.630554912440027, 1729718273.7901077, 
-0.5439730286598206, -0.7506043314933777, -2.632579821061006, 1729718273.8798895, 
-0.5702705383300781, -0.764815628528595, -2.635028118523705, 1729718273.9800425, 
-0.5979782938957214, -0.7798357009887695, -2.6386866554819193, 1729718274.0907874, 
-0.6216121912002563, -0.7925788164138794, -2.638946051646779, 1729718274.1901305, 
-0.6422105431556702, -0.8037909269332886, -2.640992409112033, 1729718274.2799473, 
-0.6633963584899902, -0.8149111270904541, -2.6420462207280955, 1729718274.380251, 
-0.6847993731498718, -0.826340913772583, -2.643127680579979, 1729718274.4908004, 
-0.7033712863922119, -0.8364508152008057, -2.6432647724230702, 1729718274.5908313, 
-0.7187132835388184, -0.8446452617645264, -2.6415393167035126, 1729718274.6799293, 
-0.7351009249687195, -0.853554368019104, -2.6405885223318326, 1729718274.7808373, 
-0.7512205243110657, -0.8620966672897339, -2.6398792436254737, 1729718274.890859, 
-0.7654551267623901, -0.8697364330291748, -2.6394195189937864, 1729718274.9918704, 
-0.7774777412414551, -0.8761388063430786, -2.6395187285397506, 1729718275.0808773, 
-0.7902272939682007, -0.8829903602600098, -2.6383621614147894, 1729718275.1807227, 
-0.8037709593772888, -0.890385627746582, -2.638534303130577, 1729718275.2907932, 
-0.8144916296005249, -0.8962754011154175, -2.6383979409084213, 1729718275.3917866, 
-0.82407146692276, -0.9015573859214783, -2.63808229163914, 1729718275.4799538, 
-0.8344805836677551, -0.907132625579834, -2.637756821603557, 1729718275.5810552, 
-0.8445761203765869, -0.9126474857330322, -2.6356715785174174, 1729718275.6901221, 
-0.8535882830619812, -0.9175682067871094, -2.636328451780701, 1729718275.7918437, 
-0.8612033128738403, -0.9218117594718933, -2.6367044380399522, 1729718275.87988, 
-0.8694347739219666, -0.9262571334838867, -2.6367736231273065, 1729718275.9802282, 
-0.8772655129432678, -0.9305831789970398, -2.6371236185011635, 1729718276.0908132, 
-0.8846648931503296, -0.9347407817840576, -2.63638731484136, 1729718276.1918256, 
-0.8905214667320251, -0.9379597902297974, -2.636069800014432, 1729718276.2808042, 
-0.8967201113700867, -0.9412554502487183, -2.635624897791892, 1729718276.3800201, 
-0.9031978845596313, -0.9448172450065613, -2.6354043912979304, 1729718276.49007, 
-0.9086531400680542, -0.9477066397666931, -2.6339406164809085, 1729718276.5880702, 
-0.9137088060379028, -0.9503815770149231, -2.6339953475976334, 1729718276.6799378, 
-0.9190303087234497, -0.9530676603317261, -2.6323132347693683, 1729718276.780421, 
-0.923981785774231, -0.9559153914451599, -2.633574503962041, 1729718276.890777, 
-0.9280959367752075, -0.9583138823509216, -2.6332902636979414, 1729718276.9888337, 
-0.9317992925643921, -0.9601601362228394, -2.6318754996296367, 1729718277.0799246, 
-0.9361259937286377, -0.9625511169433594, -2.6294670147934083, 1729718277.1980534, 
-0.9392038583755493, -0.9644055366516113, -2.6269795578434185, 1729718277.2900777, 
-0.9429939389228821, -0.9663519859313965, -2.624454015542708, 1729718277.3888643, 
-0.9457796812057495, -0.9678990244865417, -2.622362344040005, 1729718277.4801505, 
-0.9486957788467407, -0.9697484374046326, -2.621657177468923, 1729718277.5812025, 
-0.9522865414619446, -0.9716967940330505, -2.620807605477848, 1729718277.6901083, 
-0.9549685120582581, -0.9731885194778442, -2.619637454043038, 1729718277.7880888, 
-0.956936776638031, -0.9743894934654236, -2.615869973849071, 1729718277.879903, 
-0.9594680666923523, -0.9759696125984192, -2.6155800244522456, 1729718277.9814167, 
-0.9626011848449707, -0.9774682521820068, -2.6138673060680726, 1729718278.0908382, 
-0.9653117656707764, -0.9790735840797424, -2.613117484310065, 1729718278.1898296, 
-0.9674108624458313, -0.9804126620292664, -2.6119363700201585, 1729718278.281087, 
-0.9701635837554932, -0.9820515513420105, -2.6107898014928614, 1729718278.3810613, 
-0.9732332229614258, -0.9837333559989929, -2.60862060006848, 1729718278.4901695, 
-0.9758753180503845, -0.9853271245956421, -2.6067793529812535, 1729718278.5898418, 
-0.9780496954917908, -0.9866343140602112, -2.6071145723172156, 1729718278.6818616, 
-0.9810392260551453, -0.9881852269172668, -2.60493963505479, 1729718278.782156, 
-0.9843016862869263, -0.9901444315910339, -2.6023793671563222, 1729718278.8920248, 
-0.9870067834854126, -0.9918280839920044, -2.6009760571167564, 1729718278.9893687, 
-0.9890735745429993, -0.9929786920547485, -2.600698946622779, 1729718279.0814085, 
-0.9920351505279541, -0.9948011636734009, -2.597602556378683, 1729718279.1832602, 
